"num_booking","sum","market_segment","distribution_channel","customer_type"
"2","0","Aviation","Corporate","Group"
"206","45","Aviation","Corporate","Transient"
"17","6","Aviation","Corporate","Transient-Party"
"10","1","Aviation","TA/TO","Transient"
"1","0","Complementary","Corporate","Contract"
"77","13","Complementary","Corporate","Transient"
"3","0","Complementary","Corporate","Transient-Party"
"1","0","Complementary","Direct","Contract"
"4","0","Complementary","Direct","Group"
"548","66","Complementary","Direct","Transient"
"14","3","Complementary","Direct","Transient-Party"
"1","0","Complementary","TA/TO","Group"
"62","6","Complementary","TA/TO","Transient"
"15","1","Complementary","TA/TO","Transient-Party"
"22","4","Corporate","Corporate","Contract"
"25","4","Corporate","Corporate","Group"
"3168","557","Corporate","Corporate","Transient"
"1389","301","Corporate","Corporate","Transient-Party"
"2","1","Corporate","Direct","Group"
"126","9","Corporate","Direct","Transient"
"36","7","Corporate","Direct","Transient-Party"
"1","0","Corporate","TA/TO","Group"
"102","74","Corporate","TA/TO","Transient"
"228","21","Corporate","TA/TO","Transient-Party"
"1","0","Direct","Corporate","Group"
"74","9","Direct","Corporate","Transient"
"8","0","Direct","Corporate","Transient-Party"
"14","2","Direct","Direct","Contract"
"102","18","Direct","Direct","Group"
"10907","1730","Direct","Direct","Transient"
"1084","151","Direct","Direct","Transient-Party"
"1","0","Direct","GDS","Transient"
"30","0","Direct","TA/TO","Group"
"187","10","Direct","TA/TO","Transient"
"15","0","Direct","TA/TO","Transient-Party"
"1","0","Direct","Undefined","Transient"
"1","1","Direct","Undefined","Transient-Party"
"4","4","Groups","Corporate","Contract"
"383","256","Groups","Corporate","Transient"
"837","138","Groups","Corporate","Transient-Party"
"2","0","Groups","Direct","Group"
"466","374","Groups","Direct","Transient"
"1000","169","Groups","Direct","Transient-Party"
"731","701","Groups","TA/TO","Contract"
"14","0","Groups","TA/TO","Group"
"7573","7434","Groups","TA/TO","Transient"
"8776","3018","Groups","TA/TO","Transient-Party"
"2","0","Offline TA/TO","Corporate","Group"
"18","5","Offline TA/TO","Corporate","Transient"
"192","98","Offline TA/TO","Corporate","Transient-Party"
"1","0","Offline TA/TO","Direct","Contract"
"11","2","Offline TA/TO","Direct","Transient"
"4","1","Offline TA/TO","Direct","Transient-Party"
"45","8","Offline TA/TO","GDS","Transient"
"1815","167","Offline TA/TO","TA/TO","Contract"
"208","24","Offline TA/TO","TA/TO","Group"
"13911","5950","Offline TA/TO","TA/TO","Transient"
"7918","2016","Offline TA/TO","TA/TO","Transient-Party"
"42","14","Online TA","Corporate","Transient"
"1","0","Online TA","Corporate","Transient-Party"
"2","0","Online TA","Direct","Contract"
"4","0","Online TA","Direct","Group"
"113","9","Online TA","Direct","Transient"
"9","0","Online TA","Direct","Transient-Party"
"147","29","Online TA","GDS","Transient"
"1481","384","Online TA","TA/TO","Contract"
"170","11","Online TA","TA/TO","Group"
"50868","19848","Online TA","TA/TO","Transient"
"3496","439","Online TA","TA/TO","Transient-Party"
"1","1","Online TA","Undefined","Transient-Party"
"2","2","Undefined","Undefined","Transient-Party"
