"hotel","arrival_date_month","arrival_date_year","num_booking","num_cancel","distribution_channel","customer_type"
"City Hotel","December",2016,"149","11","TA/TO","Transient-Party"
"City Hotel","January",2017,"1","0","Corporate","Transient"
"City Hotel","December",2015,"2","0","Corporate","Transient"
"Resort Hotel","September",2016,"103","10","TA/TO","Transient-Party"
"City Hotel","October",2016,"1","0","TA/TO","Transient-Party"
"Resort Hotel","July",2017,"4","2","TA/TO","Transient"
"City Hotel","October",2016,"377","376","TA/TO","Transient"
"Resort Hotel","July",2017,"3","0","Direct","Transient-Party"
"City Hotel","January",2017,"1","0","Direct","Transient"
"Resort Hotel","June",2016,"1","0","Corporate","Group"
"Resort Hotel","December",2015,"3","0","TA/TO","Group"
"Resort Hotel","February",2016,"11","4","Corporate","Transient-Party"
"Resort Hotel","March",2017,"1","0","Direct","Transient"
"City Hotel","November",2015,"4","1","TA/TO","Contract"
"Resort Hotel","August",2015,"40","15","TA/TO","Transient-Party"
"City Hotel","December",2015,"467","311","TA/TO","Transient"
"Resort Hotel","February",2016,"159","157","TA/TO","Transient"
"Resort Hotel","March",2016,"243","19","Direct","Transient"
"City Hotel","March",2017,"14","2","TA/TO","Contract"
"City Hotel","May",2017,"2","0","Direct","Transient"
"City Hotel","July",2016,"66","7","TA/TO","Transient-Party"
"Resort Hotel","April",2017,"1","0","TA/TO","Group"
"City Hotel","October",2016,"1","0","TA/TO","Transient"
"Resort Hotel","January",2016,"136","8","TA/TO","Transient"
"Resort Hotel","July",2017,"1017","490","TA/TO","Transient"
"City Hotel","June",2016,"7","0","Corporate","Transient"
"City Hotel","November",2015,"3","1","Direct","Group"
"City Hotel","February",2017,"3","0","TA/TO","Transient-Party"
"City Hotel","June",2016,"20","3","Direct","Transient-Party"
"Resort Hotel","March",2017,"4","0","TA/TO","Group"
"City Hotel","May",2016,"207","39","Direct","Transient"
"City Hotel","November",2016,"7","3","Corporate","Transient"
"City Hotel","December",2016,"28","0","TA/TO","Transient-Party"
"City Hotel","June",2017,"7","0","TA/TO","Group"
"Resort Hotel","March",2017,"266","96","TA/TO","Transient-Party"
"City Hotel","September",2016,"365","363","TA/TO","Transient"
"City Hotel","October",2015,"161","161","TA/TO","Contract"
"Resort Hotel","May",2017,"8","0","Direct","Transient-Party"
"Resort Hotel","March",2017,"1","0","Corporate","Group"
"City Hotel","April",2017,"2","0","GDS","Transient"
"Resort Hotel","April",2017,"6","0","Corporate","Transient"
"City Hotel","October",2016,"3","0","Direct","Transient"
"Resort Hotel","September",2016,"25","5","Corporate","Transient"
"Resort Hotel","January",2016,"1","0","Corporate","Transient"
"Resort Hotel","February",2017,"6","2","Direct","Transient"
"City Hotel","March",2017,"417","197","TA/TO","Transient"
"City Hotel","August",2017,"1","0","Corporate","Group"
"City Hotel","June",2016,"3","0","TA/TO","Contract"
"City Hotel","April",2016,"3","1","Corporate","Transient"
"City Hotel","April",2017,"2125","1008","TA/TO","Transient"
"City Hotel","August",2015,"1","0","TA/TO","Transient"
"City Hotel","September",2015,"380","372","TA/TO","Transient"
"Resort Hotel","October",2016,"47","44","TA/TO","Transient"
"Resort Hotel","August",2015,"18","8","Corporate","Transient"
"City Hotel","July",2016,"38","6","Corporate","Transient-Party"
"City Hotel","January",2017,"6","1","Corporate","Transient-Party"
"Resort Hotel","February",2016,"4","0","TA/TO","Group"
"Resort Hotel","June",2017,"1","0","TA/TO","Transient"
"City Hotel","November",2016,"24","2","Direct","Transient"
"Resort Hotel","August",2015,"2","0","TA/TO","Transient"
"City Hotel","January",2016,"50","4","Corporate","Transient"
"City Hotel","March",2017,"1","0","TA/TO","Group"
"Resort Hotel","June",2017,"230","38","Direct","Transient"
"City Hotel","August",2015,"100","92","TA/TO","Transient"
"Resort Hotel","April",2017,"3","0","TA/TO","Group"
"City Hotel","October",2016,"616","217","TA/TO","Transient-Party"
"Resort Hotel","August",2017,"7","1","Direct","Transient"
"Resort Hotel","February",2016,"235","17","TA/TO","Transient"
"City Hotel","September",2016,"1764","657","TA/TO","Transient"
"Resort Hotel","April",2017,"178","21","Direct","Transient"
"Resort Hotel","October",2016,"1","1","TA/TO","Transient"
"City Hotel","October",2016,"1","0","TA/TO","Transient"
"City Hotel","September",2015,"272","203","TA/TO","Transient"
"Resort Hotel","September",2015,"132","131","Corporate","Transient"
"Resort Hotel","August",2017,"2","0","Corporate","Transient"
"City Hotel","January",2016,"13","0","Direct","Transient-Party"
"Resort Hotel","July",2016,"1","0","TA/TO","Group"
"City Hotel","November",2016,"1","0","TA/TO","Group"
"City Hotel","August",2017,"44","1","Corporate","Transient"
"City Hotel","January",2017,"2","0","TA/TO","Group"
"Resort Hotel","August",2016,"6","0","TA/TO","Transient"
"Resort Hotel","October",2016,"130","28","TA/TO","Transient-Party"
"City Hotel","January",2016,"81","13","TA/TO","Transient-Party"
"City Hotel","April",2016,"1693","646","TA/TO","Transient"
"Resort Hotel","July",2017,"3","0","Direct","Group"
"Resort Hotel","May",2017,"129","19","TA/TO","Transient-Party"
"City Hotel","March",2016,"1","0","Direct","Contract"
"City Hotel","September",2016,"91","14","Corporate","Transient"
"Resort Hotel","January",2017,"3","0","TA/TO","Transient"
"Resort Hotel","August",2016,"1","0","Corporate","Transient"
"Resort Hotel","February",2016,"28","0","TA/TO","Transient-Party"
"Resort Hotel","March",2017,"1","0","Corporate","Group"
"City Hotel","November",2016,"117","13","Corporate","Transient"
"City Hotel","October",2016,"2","2","TA/TO","Contract"
"City Hotel","September",2016,"63","13","TA/TO","Transient-Party"
"City Hotel","June",2017,"2","0","TA/TO","Transient"
"City Hotel","May",2017,"1","0","Corporate","Transient"
"Resort Hotel","December",2015,"211","24","Direct","Transient"
"City Hotel","November",2015,"81","26","Corporate","Transient"
"Resort Hotel","October",2016,"42","4","Corporate","Transient"
"Resort Hotel","May",2016,"2","2","Corporate","Transient"
"City Hotel","September",2015,"52","8","Corporate","Transient-Party"
"City Hotel","March",2016,"473","218","TA/TO","Transient"
"City Hotel","February",2016,"1","0","Direct","Transient-Party"
"City Hotel","May",2016,"22","7","Corporate","Transient"
"City Hotel","July",2016,"72","4","Corporate","Transient"
"City Hotel","October",2015,"20","7","Direct","Transient"
"City Hotel","January",2016,"1","0","Corporate","Transient-Party"
"City Hotel","March",2017,"245","30","Direct","Transient"
"City Hotel","February",2016,"2","0","Direct","Transient"
"City Hotel","October",2016,"116","67","TA/TO","Transient-Party"
"City Hotel","May",2016,"516","302","TA/TO","Transient"
"Resort Hotel","July",2016,"12","6","Corporate","Transient-Party"
"City Hotel","February",2017,"13","2","Direct","Transient"
"City Hotel","June",2017,"63","4","Corporate","Transient"
"City Hotel","July",2015,"156","128","TA/TO","Transient"
"City Hotel","July",2017,"1","0","TA/TO","Group"
"City Hotel","September",2015,"2","0","Corporate","Group"
"Resort Hotel","March",2016,"2","0","TA/TO","Group"
"Resort Hotel","December",2015,"172","63","TA/TO","Transient-Party"
