"hotel","country","arrival_date_month","num_booking","num_cancel","distribution_channel","total_parking","total_special_request"
"Resort Hotel","LUX","March","10","0","TA/TO","0","4"
"City Hotel","COL","May","1","0","Corporate","0","0"
"Resort Hotel","NGA","July","1","0","TA/TO","0","0"
"City Hotel","ESP","February","308","68","TA/TO","22","209"
"Resort Hotel","DOM","March","1","0","TA/TO","0","1"
"Resort Hotel","COL","January","1","0","TA/TO","1","0"
"Resort Hotel","PRT","November","234","27","Direct","51","65"
"Resort Hotel","IND","April","8","0","TA/TO","1","8"
"Resort Hotel","DEU","December","9","0","Corporate","1","0"
"Resort Hotel","RUS","June","2","1","Direct","0","0"
"City Hotel","BIH","April","1","0","Direct","0","0"
"Resort Hotel","CN","February","13","3","TA/TO","5","11"
"City Hotel","JPN","January","14","0","TA/TO","1","8"
"Resort Hotel","NOR","July","4","1","Direct","0","0"
"City Hotel","ESP","February","34","3","Direct","7","18"
"City Hotel","IND","April","13","5","TA/TO","0","11"
"City Hotel","PER","May","1","0","Direct","0","2"
"City Hotel","DNK","May","33","17","TA/TO","1","21"
"City Hotel","HUN","April","1","1","Direct","0","0"
"City Hotel","PRY","April","1","0","TA/TO","0","0"
"City Hotel","KOR","May","19","15","TA/TO","0","10"
"City Hotel","IRL","April","135","43","TA/TO","0","85"
"City Hotel","BLR","December","2","0","TA/TO","0","3"
"City Hotel","THA","September","1","0","TA/TO","0","2"
"City Hotel","CN","April","2","0","Corporate","2","1"
"City Hotel","CHN","September","3","1","Direct","0","5"
"City Hotel","DOM","October","1","0","Direct","0","0"
"Resort Hotel","NLD","July","5","0","Direct","2","0"
"Resort Hotel","ROU","October","3","0","TA/TO","1","4"
"City Hotel","CZE","July","14","5","TA/TO","0","14"
"City Hotel","CN","August","61","24","TA/TO","1","49"
"Resort Hotel","CHN","October","3","0","TA/TO","1","3"
"City Hotel","BEL","October","11","2","Direct","1","3"
"City Hotel","GRC","May","7","3","TA/TO","0","9"
"City Hotel","SWE","November","21","4","TA/TO","0","20"
"City Hotel","ECU","March","1","0","TA/TO","0","1"
"City Hotel","AGO","November","16","12","TA/TO","0","10"
"Resort Hotel","DEU","April","9","0","Direct","1","4"
"City Hotel","POL","November","3","0","Corporate","0","0"
"City Hotel","LBY","July","1","0","TA/TO","0","3"
"City Hotel","SVN","October","10","1","TA/TO","1","8"
"City Hotel","ROU","August","6","3","Direct","0","5"
"City Hotel","MAR","November","2","0","Direct","0","0"
"Resort Hotel","AZE","July","1","0","Direct","0","2"
"City Hotel","SWE","July","90","30","TA/TO","1","69"
"Resort Hotel","PRT","May","178","63","Corporate","16","29"
"Resort Hotel","PHL","April","1","0","TA/TO","0","2"
"City Hotel","ITA","November","11","0","Direct","0","10"
"City Hotel","IND","February","6","2","TA/TO","0","2"
"Resort Hotel","PRT","November","578","226","TA/TO","74","398"
"City Hotel","CHE","January","5","1","Direct","0","3"
"City Hotel","TUR","May","28","11","TA/TO","0","7"
"City Hotel","SVN","July","1","0","Direct","0","0"
"Resort Hotel","NLD","October","27","1","TA/TO","11","35"
"City Hotel","MEX","June","5","1","TA/TO","0","5"
"City Hotel","DNK","September","30","3","TA/TO","1","9"
"Resort Hotel","ZWE","February","1","0","TA/TO","0","1"
"Resort Hotel","POL","May","1","0","Direct","0","0"
"Resort Hotel","SWE","May","1","0","Direct","0","0"
"Resort Hotel","GBR","April","117","32","Direct","9","18"
"Resort Hotel","LTU","January","3","0","TA/TO","1","2"
"City Hotel","TUN","October","4","3","TA/TO","0","4"
"City Hotel","USA","April","20","5","Direct","3","7"
"City Hotel","HRV","August","1","0","Direct","0","0"
"Resort Hotel","AUS","April","3","0","Corporate","0","0"
"Resort Hotel","PRI","September","1","0","TA/TO","0","2"
"Resort Hotel","BRA","July","62","15","TA/TO","7","59"
"City Hotel","SVK","August","5","0","TA/TO","1","4"
"Resort Hotel","ESP","April","42","5","Direct","16","32"
"City Hotel","TUR","December","1","0","Direct","0","1"
"Resort Hotel","DNK","November","1","0","Corporate","0","0"
"City Hotel","IRQ","May","1","0","Direct","0","0"
"City Hotel","CYP","October","2","0","Corporate","0","0"
"Resort Hotel","AUS","February","2","0","TA/TO","0","0"
"City Hotel","USA","December","9","2","Direct","0","4"
"City Hotel","AGO","November","2","0","Corporate","0","4"
"Resort Hotel","LBN","August","1","1","TA/TO","0","1"
"Resort Hotel","CHE","October","7","0","Direct","2","3"
"City Hotel","AUS","February","17","13","TA/TO","0","7"
"Resort Hotel","DEU","September","66","10","TA/TO","11","41"
"Resort Hotel","MAR","July","4","1","Direct","1","3"
"City Hotel","UMI","May","1","1","TA/TO","0","1"
"City Hotel","CN","September","7","1","Direct","0","3"
"Resort Hotel","SYR","March","1","0","TA/TO","0","0"
"City Hotel","USA","February","7","1","Direct","0","1"
