team_name,league_name,season,win_rate
RSC Anderlecht,Belgium Jupiler League,2008/2009,0.71
Standard de Liège,Belgium Jupiler League,2008/2009,0.71
Club Brugge KV,Belgium Jupiler League,2008/2009,0.53
KAA Gent,Belgium Jupiler League,2008/2009,0.5
SV Zulte-Waregem,Belgium Jupiler League,2008/2009,0.47
KRC Genk,Belgium Jupiler League,2008/2009,0.44
KVC Westerlo,Belgium Jupiler League,2008/2009,0.44
KSV Cercle Brugge,Belgium Jupiler League,2008/2009,0.41
Sporting Lokeren,Belgium Jupiler League,2008/2009,0.38
KV Mechelen,Belgium Jupiler League,2008/2009,0.35
Sporting Charleroi,Belgium Jupiler League,2008/2009,0.35
Beerschot AC,Belgium Jupiler League,2008/2009,0.32
FCV Dender EH,Belgium Jupiler League,2008/2009,0.26
KV Kortrijk,Belgium Jupiler League,2008/2009,0.26
KSV Roeselare,Belgium Jupiler League,2008/2009,0.24
Tubize,Belgium Jupiler League,2008/2009,0.21
RAEC Mons,Belgium Jupiler League,2008/2009,0.09
RSC Anderlecht,Belgium Jupiler League,2009/2010,0.79
Club Brugge KV,Belgium Jupiler League,2009/2010,0.61
KAA Gent,Belgium Jupiler League,2009/2010,0.5
KV Kortrijk,Belgium Jupiler League,2009/2010,0.43
KV Mechelen,Belgium Jupiler League,2009/2010,0.43
Sint-Truidense VV,Belgium Jupiler League,2009/2010,0.43
KSV Cercle Brugge,Belgium Jupiler League,2009/2010,0.39
SV Zulte-Waregem,Belgium Jupiler League,2009/2010,0.36
Standard de Liège,Belgium Jupiler League,2009/2010,0.36
Beerschot AC,Belgium Jupiler League,2009/2010,0.32
KRC Genk,Belgium Jupiler League,2009/2010,0.29
KVC Westerlo,Belgium Jupiler League,2009/2010,0.29
Sporting Charleroi,Belgium Jupiler League,2009/2010,0.18
Sporting Lokeren,Belgium Jupiler League,2009/2010,0.18
KSV Roeselare,Belgium Jupiler League,2009/2010,0.14
KRC Genk,Belgium Jupiler League,2010/2011,0.63
