year,player_name,overall_rating
2007,Gianluigi Buffon,93
2007,Wayne Rooney,93
2007,Gregory Coupet,92
2008,Cristiano Ronaldo,91
2008,Iker Casillas,91
2008,Gianluigi Buffon,90
2009,Iker Casillas,91
2009,Cristiano Ronaldo,90
2009,Gianluigi Buffon,90
2010,Iker Casillas,90
2010,Lionel Messi,90
2010,Lionel Messi,90
2011,Lionel Messi,94
2011,Cristiano Ronaldo,92
2011,Xavi Hernandez,92
2012,Lionel Messi,94
2012,Lionel Messi,94
2012,Cristiano Ronaldo,92
2013,Lionel Messi,94
2013,Lionel Messi,94
2013,Lionel Messi,94
2014,Lionel Messi,94
2014,Lionel Messi,93
2014,Lionel Messi,93
2015,Lionel Messi,94
2015,Lionel Messi,94
2015,Lionel Messi,94
2016,Manuel Neuer,90
2016,Manuel Neuer,90
2016,Manuel Neuer,90
