,customer_id,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,state,property_valuation,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,tran_counts,age,profit,age_group
0,1,Female,93.0,Health,Mass Customer,N,Yes,11.0,NSW,10.0,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,11,69.0,110.56,Senior Adults
1,1,Female,93.0,Health,Mass Customer,N,Yes,11.0,NSW,10.0,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,11,69.0,751.02,Senior Adults
2,1,Female,93.0,Health,Mass Customer,N,Yes,11.0,NSW,10.0,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,11,69.0,189.27999999999997,Senior Adults
3,1,Female,93.0,Health,Mass Customer,N,Yes,11.0,NSW,10.0,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,11,69.0,90.09999999999997,Senior Adults
4,1,Female,93.0,Health,Mass Customer,N,Yes,11.0,NSW,10.0,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,11,69.0,17.869999999999997,Senior Adults
5,1,Female,93.0,Health,Mass Customer,N,Yes,11.0,NSW,10.0,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,11,69.0,709.34,Senior Adults
6,1,Female,93.0,Health,Mass Customer,N,Yes,11.0,NSW,10.0,0.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,11,69.0,75.75,Senior Adults
7,1,Female,93.0,Health,Mass Customer,N,Yes,11.0,NSW,10.0,1.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,11,69.0,57.72999999999999,Senior Adults
8,1,Female,93.0,Health,Mass Customer,N,Yes,11.0,NSW,10.0,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,11,69.0,431.33000000000004,Senior Adults
9,1,Female,93.0,Health,Mass Customer,N,Yes,11.0,NSW,10.0,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,11,69.0,75.13999999999999,Senior Adults
